Inches,Ram_GB,Company_Freq,Company_LogFreq,TypeName_Category_Budget,TypeName_Category_Performance,TypeName_Category_Premium,PPI,Cpu_Entry-Level,Cpu_High-End,Cpu_Mid-Range,Storage_Size_GB,Storage_Category_HDD-Based,Storage_Category_SSD-Based,Gpu_group_Dedicated,Gpu_group_Integrated,OpSys_Category_Linux/Chrome,OpSys_Category_MacOS,OpSys_Category_Others,OpSys_Category_Windows,Price_php,Weight_Category,Cpu_Score,Gpu_Score,Storage_Impact,Performance_Index,Performance_to_Weight,Display_Quality
13.3,-0.07519506268436271,21,-2.319482999269945,False,False,True,1.863992590469502,True,False,False,-0.7383875721754812,False,True,False,True,False,True,False,False,87926.7741,1.0,3000,2000,-1.845968930438703,24998.003640944193,12499.001820472096,24.79110145324438
15.6,-0.8621763211399812,297,0.5592211110580945,True,False,False,-1.071373081019653,True,False,False,-1.0048748502406828,False,True,False,True,False,False,True,False,22864.6791,3.0,3000,2000,-2.5121871256017068,24995.76346023212,6248.94086505803,-16.713420063906586
17.3,-0.07519506268436271,158,-0.13469126891243635,False,True,False,-0.4477532526748909,True,False,False,1.3935106523461314,False,True,True,False,False,False,False,True,80491.1061,5.0,3000,15000,3.4837766308653286,90003.33338650549,15000.555564417582,-7.746131271275613
15.6,-0.8621763211399812,297,0.5592211110580945,True,False,False,-0.12583260352905437,True,False,False,-0.7383875721754812,False,True,False,True,False,False,False,True,39594.9321,3.0,3000,2000,-1.845968930438703,24996.42967842728,6249.10741960682,-1.962988615053248
17.3,-0.8621763211399812,158,-0.13469126891243635,True,False,False,-1.3003793479843322,True,False,False,0.8605360962157282,True,False,True,False,False,False,False,True,28875.1774,4.0,3000,15000,0.8605360962157282,89999.13618345393,17999.827236690784,-22.49656272012895
10.1,-0.8621763211399812,297,0.5592211110580945,False,False,True,1.798821288343552,True,False,False,-1.1381184892732836,False,True,False,True,False,False,True,False,19766.4841,1.0,3000,2000,-2.845296223183209,24995.43035113454,12497.71517556727,18.168095012269873
15.6,-0.07519506268436271,103,-0.6036184598685892,True,False,False,-0.12583260352905437,False,False,True,-0.7383875721754812,False,True,True,False,False,False,False,True,52111.6399,3.0,9000,15000,-1.845968930438703,119998.00364094418,29999.500910236045,-1.962988615053248
15.6,-0.8621763211399812,274,0.4704951467693265,True,False,False,-0.12583260352905437,True,False,False,-0.7383875721754812,False,True,False,True,False,False,False,True,24691.99451,2.0,3000,2000,-1.845968930438703,24996.42967842728,8332.143226142427,-1.962988615053248
13.3,-0.07519506268436271,274,0.4704951467693265,True,False,False,0.44069648225214014,False,False,True,-0.20541301604507806,False,True,False,True,False,False,False,True,68346.1817,1.0,9000,2000,-0.5135325401126951,54999.33607733452,27499.66803866726,5.861263213953464
15.6,-0.8621763211399812,103,-0.6036184598685892,True,False,False,-1.071373081019653,True,False,False,0.8605360962157282,True,False,False,True,False,False,False,True,23794.1376,3.0,3000,2000,0.8605360962157282,24999.13618345394,6249.784045863485,-16.713420063906586
